ci_low,Median,ci_high,Model,Metric,Prediction Interval,Exclusion Interval,exp_id
,"{""precision"": [0.0, 0.3, 0.25, 0.3125, 0.30708661417322836, 0.3392857142857143, 0.4525862068965517], ""recall"": [0.0, 0.08256880733944955, 0.13761467889908258, 0.27522935779816515, 0.3577981651376147, 0.5229357798165137, 0.963302752293578], ""tpr"": [0.0, 0.08256880733944955, 0.13761467889908258, 0.27522935779816515, 0.3577981651376147, 0.5229357798165137, 0.963302752293578], ""fpr"": [0.022900763358778626, 0.16030534351145037, 0.3435114503816794, 0.5038167938931297, 0.6717557251908397, 0.8473282442748091, 0.9694656488549618], ""odds_ratio"": [0.0, 0.4714285714285714, 0.3049645390070922, 0.3739930955120829, 0.2722402597402597, 0.1975051975051975, 0.8267716535433071], ""thresholds"": [0.16350853443145752, 0.138334259390831, 0.13136395812034607, 0.12732496857643127, 0.12363983690738678, 0.11884655058383942, 0.11025150865316391], ""cm"": [4.0, 127.0, 0.0, 109.0]}",,transformer,curves,60,0,392892907ec50190a3b6d37ba1af4481
0.39149,0.45,0.516905,transformer,incidence,60,0,392892907ec50190a3b6d37ba1af4481
0.24968693125670388,0.31927404718693286,0.39008330603452557,transformer,auroc,60,0,392892907ec50190a3b6d37ba1af4481
0.8846153846153846,0.9632352941176471,0.9927613320999075,transformer,fpr,60,0,392892907ec50190a3b6d37ba1af4481
0.9724643221202854,1.0,1.0,transformer,tpr,60,0,392892907ec50190a3b6d37ba1af4481
0.2819864047115065,0.3445180575994864,0.4168927192028749,transformer,auprc,60,0,392892907ec50190a3b6d37ba1af4481
0.3991568376229416,0.461864406779661,0.5256482688686078,transformer,precision,60,0,392892907ec50190a3b6d37ba1af4481
0.9724643221202854,1.0,1.0,transformer,recall,60,0,392892907ec50190a3b6d37ba1af4481
0.0,0.0,9.583289709326344,transformer,odds_ratio,60,0,392892907ec50190a3b6d37ba1af4481
0.11019368469715118,0.11019368469715118,0.11048462986946106,transformer,thershold,60,0,392892907ec50190a3b6d37ba1af4481
,"{""precision"": [0.0, 0.5, 0.5857142857142857, 0.47058823529411764, 0.5294117647058824, 0.5649717514124294], ""recall"": [0.0, 0.1357142857142857, 0.29285714285714287, 0.34285714285714286, 0.5142857142857142, 0.7142857142857143], ""tpr"": [0.0, 0.1357142857142857, 0.29285714285714287, 0.34285714285714286, 0.5142857142857142, 0.7142857142857143], ""fpr"": [0.011363636363636364, 0.2159090909090909, 0.32954545454545453, 0.6136363636363636, 0.7272727272727273, 0.875], ""odds_ratio"": [0.0, 0.5702479338842975, 0.8425635667014977, 0.32850241545893716, 0.39705882352941174, 0.35714285714285715], ""thresholds"": [0.45493075251579285, 0.4177156686782837, 0.3868873715400696, 0.3821142911911011, 0.3749692440032959, 0.3596561849117279], ""cm"": [0.0, 88.0, 0.0, 140.0]}",,transformer,curves,120,0,392892907ec50190a3b6d37ba1af4481
0.55238,0.614,0.6798,transformer,incidence,120,0,392892907ec50190a3b6d37ba1af4481
0.300774484745579,0.37332161125319696,0.44179192225233005,transformer,auroc,120,0,392892907ec50190a3b6d37ba1af4481
1.0,1.0,1.0,transformer,fpr,120,0,392892907ec50190a3b6d37ba1af4481
1.0,1.0,1.0,transformer,tpr,120,0,392892907ec50190a3b6d37ba1af4481
0.4607310154277813,0.5270771469114558,0.60431170296133,transformer,auprc,120,0,392892907ec50190a3b6d37ba1af4481
0.5524122807017544,0.6140350877192983,0.6798245614035088,transformer,precision,120,0,392892907ec50190a3b6d37ba1af4481
1.0,1.0,1.0,transformer,recall,120,0,392892907ec50190a3b6d37ba1af4481
0.0,0.0,0.0,transformer,odds_ratio,120,0,392892907ec50190a3b6d37ba1af4481
0.3298099935054779,0.3298099935054779,0.3298099935054779,transformer,thershold,120,0,392892907ec50190a3b6d37ba1af4481
,"{""precision"": [0.0, 0.03225806451612903, 0.08064516129032258, 0.04424778761061947, 0.03164556962025317, 0.0228310502283105], ""recall"": [0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143], ""tpr"": [0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143], ""fpr"": [0.004291845493562232, 0.12875536480686695, 0.2446351931330472, 0.463519313304721, 0.6566523605150214, 0.9184549356223176], ""odds_ratio"": [0.0, 1.1277777777777778, 7.719298245614034, 2.893518518518518, 1.3071895424836601, 0.2219626168224299], ""thresholds"": [0.11143962293863297, 0.0962732583284378, 0.0925474613904953, 0.08793045580387115, 0.08521190285682678, 0.0823715478181839], ""cm"": [190.0, 43.0, 2.0, 5.0]}",,transformer,curves,6,3,fe93f98852392776304881fc8fc0543c
0.0125,0.0292,0.05,transformer,incidence,6,3,fe93f98852392776304881fc8fc0543c
0.31475260557539037,0.6422413793103449,0.8716123726086179,transformer,auroc,6,3,fe93f98852392776304881fc8fc0543c
0.06873612549948203,0.17903930131004367,0.24023490438187017,transformer,fpr,6,3,fe93f98852392776304881fc8fc0543c
0.3333333333333333,0.7142857142857143,1.0,transformer,tpr,6,3,fe93f98852392776304881fc8fc0543c
0.015513520907978959,0.051271383627951035,0.10310129458100267,transformer,auprc,6,3,fe93f98852392776304881fc8fc0543c
0.0313002464347756,0.10638297872340426,0.2,transformer,precision,6,3,fe93f98852392776304881fc8fc0543c
0.3333333333333333,0.7142857142857143,1.0,transformer,recall,6,3,fe93f98852392776304881fc8fc0543c
0.0,10.444444444444445,34.95686274509802,transformer,odds_ratio,6,3,fe93f98852392776304881fc8fc0543c
0.09474500268697739,0.09474500268697739,0.09732253849506378,transformer,thershold,6,3,fe93f98852392776304881fc8fc0543c
,"{""precision"": [0.0, 0.06451612903225806, 0.0967741935483871, 0.09734513274336283, 0.0759493670886076, 0.0547945205479452], ""recall"": [0.0, 0.14285714285714285, 0.42857142857142855, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571], ""tpr"": [0.0, 0.14285714285714285, 0.42857142857142855, 0.7857142857142857, 0.8571428571428571, 0.8571428571428571], ""fpr"": [0.004424778761061947, 0.12831858407079647, 0.24778761061946902, 0.45132743362831856, 0.6460176991150443, 0.915929203539823], ""odds_ratio"": [0.0, 1.132183908045977, 2.2767857142857144, 4.457516339869281, 3.287671232876712, 0.5507246376811594], ""thresholds"": [0.11143962293863297, 0.0962732583284378, 0.0925474613904953, 0.08793045580387115, 0.08521190285682678, 0.0823715478181839], ""cm"": [140.0, 86.0, 3.0, 11.0]}",,transformer,curves,12,3,fe93f98852392776304881fc8fc0543c
0.03309500000000002,0.0583,0.0917,transformer,incidence,12,3,fe93f98852392776304881fc8fc0543c
0.4780409242651707,0.6331877729257642,0.7736574184329602,transformer,auroc,12,3,fe93f98852392776304881fc8fc0543c
0.11049390098062666,0.31981981981981983,0.4978165938864629,transformer,fpr,12,3,fe93f98852392776304881fc8fc0543c
0.36331168831168836,0.6875,1.0,transformer,tpr,12,3,fe93f98852392776304881fc8fc0543c
