Model,Exclusion Interval,Metric,3,6,12,36,60,120
transformer,0,fpr,20.00% (14.67%-26.18%),20.98% (16.13%-25.45%),6.03% (2.87%-9.49%),8.07% (4.17%-13.20%),3.68% (0.72%-11.54%),0.00% (0.00%-0.00%)
transformer,0,precision,6.2% (3.5%-10.0%),10.8% (6.3%-15.2%),15.9% (10.6%-21.1%),37.5% (31.6%-44.2%),46.2% (39.9%-52.6%),61.4% (55.2%-68.0%)
transformer,0,recall,100.0% (100.0%-100.0%),100.0% (100.0%-100.0%),100.0% (100.0%-100.0%),100.0% (100.0%-100.0%),100.0% (97.2%-100.0%),100.0% (100.0%-100.0%)
transformer,3,fpr,-,82.10% (75.98%-93.13%),68.02% (50.22%-88.95%),32.81% (25.90%-43.27%),33.92% (11.21%-42.79%),0.00% (0.00%-49.53%)
transformer,3,precision,-,10.6% (3.1%-20.0%),12.6% (6.3%-22.6%),27.1% (21.4%-34.1%),39.1% (32.3%-45.9%),52.1% (44.7%-61.0%)
transformer,3,recall,-,71.4% (33.3%-100.0%),68.8% (36.3%-100.0%),92.0% (82.6%-98.1%),89.9% (83.8%-100.0%),100.0% (77.4%-100.0%)
