Model,Exclusion Interval,3,6,12,36,60,120
transformer,0,['0.031 (0.017-0.051)'],['0.061 (0.034-0.086)'],['0.093 (0.060-0.128)'],['0.264 (0.216-0.321)'],['0.345 (0.282-0.417)'],['0.527 (0.461-0.604)']
transformer,3,-,['0.051 (0.016-0.103)'],['0.079 (0.039-0.133)'],['0.222 (0.166-0.288)'],['0.336 (0.268-0.401)'],['0.499 (0.407-0.589)']
