Model,Exclusion Interval,3,6,12,36,60,120
transformer,0,['0.209 (0.159-0.269)'],['0.328 (0.236-0.395)'],['0.235 (0.170-0.323)'],['0.324 (0.257-0.390)'],['0.319 (0.250-0.390)'],['0.373 (0.301-0.442)']
transformer,3,-,['0.642 (0.315-0.872)'],['0.633 (0.478-0.774)'],['0.546 (0.469-0.626)'],['0.554 (0.486-0.627)'],['0.514 (0.429-0.598)']
