Prediction Interval,,3,3,6,6,12,12,36,36,60,60,120,120
Metric,,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall
Model,Exclusion Interval,,,,,,,,,,,,
transformer,0,['6.0% (4.9%-7.3%)'],['49.6% (34.5%-96.1%)'],['9.5% (8.0%-11.1%)'],['50.8% (33.0%-99.0%)'],['16.7% (15.9%-17.9%)'],['93.4% (90.7%-100.0%)'],['35.7% (34.4%-37.1%)'],['100.0% (99.5%-100.0%)'],['47.2% (45.8%-48.7%)'],['100.0% (99.6%-100.0%)'],['66.8% (65.4%-68.3%)'],['100.0% (100.0%-100.0%)']
transformer,3,-,-,['9.5% (3.3%-18.4%)'],['8.3% (5.6%-99.3%)'],['12.8% (11.8%-14.7%)'],['96.4% (45.7%-100.0%)'],['33.1% (31.8%-34.4%)'],['99.6% (98.2%-99.9%)'],['45.7% (44.3%-47.0%)'],['99.1% (98.8%-100.0%)'],['65.9% (64.8%-67.6%)'],['99.8% (99.0%-100.0%)']
