Model,Exclusion Interval,3,6,12,36,60,120
transformer,0,['0.498 (0.466-0.537)'],['0.513 (0.481-0.540)'],['0.495 (0.475-0.520)'],['0.534 (0.518-0.552)'],['0.513 (0.497-0.532)'],['0.478 (0.462-0.495)']
transformer,3,-,['0.468 (0.422-0.520)'],['0.509 (0.486-0.534)'],['0.509 (0.492-0.527)'],['0.512 (0.494-0.529)'],['0.512 (0.495-0.528)']
