Model,Exclusion Interval,3,6,12,36,60,120
transformer,0,['0.048 (0.041-0.055)'],['0.086 (0.074-0.097)'],['0.162 (0.150-0.176)'],['0.397 (0.378-0.420)'],['0.489 (0.468-0.510)'],['0.660 (0.641-0.678)']
transformer,3,-,['0.036 (0.028-0.045)'],['0.137 (0.122-0.153)'],['0.350 (0.332-0.372)'],['0.476 (0.456-0.494)'],['0.677 (0.658-0.696)']
