Prediction Interval,,3,3,6,6,12,12,36,36,60,60,120,120
Metric,,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall,precision,recall
Model,Exclusion Interval,,,,,,,,,,,,
transformer,0,['25.0% (2.7%-100.0%)'],['20.0% (7.7%-100.0%)'],['10.6% (5.9%-100.0%)'],['44.4% (8.3%-100.0%)'],['15.0% (10.8%-19.6%)'],['100.0% (100.0%-100.0%)'],['26.7% (21.2%-33.4%)'],['100.0% (100.0%-100.0%)'],['42.4% (35.3%-47.9%)'],['100.0% (100.0%-100.0%)'],['67.0% (60.7%-72.8%)'],['100.0% (100.0%-100.0%)']
transformer,3,-,-,['14.3% (5.2%-30.0%)'],['41.2% (18.7%-100.0%)'],['15.3% (10.6%-36.2%)'],['88.6% (21.4%-100.0%)'],['31.2% (25.6%-38.7%)'],['100.0% (54.4%-100.0%)'],['41.8% (34.9%-48.8%)'],['97.6% (92.6%-100.0%)'],['56.4% (49.4%-75.0%)'],['97.3% (67.7%-100.0%)']
