Model,Exclusion Interval,3,6,12,36,60,120
transformer,0,['0.041 (0.014-0.105)'],['0.059 (0.032-0.113)'],['0.101 (0.069-0.154)'],['0.261 (0.185-0.351)'],['0.338 (0.269-0.422)'],['0.561 (0.476-0.636)']
transformer,3,-,['0.068 (0.028-0.129)'],['0.116 (0.074-0.178)'],['0.264 (0.200-0.350)'],['0.391 (0.305-0.469)'],['0.604 (0.499-0.698)']
