Model,Exclusion Interval,3,6,12,36,60,120
transformer,0,['0.218 (0.077-0.443)'],['0.310 (0.162-0.464)'],['0.253 (0.161-0.353)'],['0.357 (0.265-0.456)'],['0.320 (0.258-0.390)'],['0.271 (0.202-0.356)']
transformer,3,-,['0.490 (0.309-0.718)'],['0.443 (0.330-0.544)'],['0.574 (0.492-0.644)'],['0.547 (0.460-0.617)'],['0.641 (0.562-0.734)']
