,current_epoch,epoch_stats,exclusion_interval,exp_id,lr,optimizer_state,results_path,resume_from_result
4faf8939802fa1a94821e9cf49393ea5,,,0,4faf8939802fa1a94821e9cf49393ea5,3.90625e-07,,results/untitled-search_7c54bb3f_20240423-2000/4faf8939802fa1a94821e9cf49393ea5.results,
7f23735010dcfacd9714887cf574109c,,,3,7f23735010dcfacd9714887cf574109c,1.953125e-07,,results/untitled-search_7c54bb3f_20240423-2000/7f23735010dcfacd9714887cf574109c.results,
