exclusion_interval,model_name,exp_id,save_dir
0,transformer,392892907ec50190a3b6d37ba1af4481,results/untitled-search_9fb125cd_20240423-2022
3,transformer,fe93f98852392776304881fc8fc0543c,results/untitled-search_9fb125cd_20240423-2022
