Model,Exclusion Interval,6,12,36,60,120
transformer,3,['0.153 (0.082-0.244)'],['0.378 (0.290-0.460)'],['0.489 (0.417-0.585)'],['0.517 (0.434-0.594)'],['0.686 (0.600-0.776)']
transformer,12,-,-,['0.386 (0.288-0.473)'],['0.528 (0.429-0.607)'],['0.700 (0.620-0.778)']
transformer known risk,3,['0.021 (0.009-0.039)'],['0.036 (0.021-0.060)'],['0.221 (0.176-0.267)'],['0.317 (0.265-0.379)'],['0.408 (0.352-0.459)']
transformer known risk,12,-,-,['0.159 (0.122-0.204)'],['0.259 (0.207-0.310)'],['0.441 (0.385-0.497)']
